id,title,type,status,rating,notes,cover,dateAdded
"1766640762073","Assassn's creed black flag","game","completed",8.5,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co4qfn.webp","2025-12-25T05:32:42.073Z"
"1766640920560","Assassin's creed unity","game","completed",7.7,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1xiq.webp","2025-12-25T05:35:20.560Z"
"1766640978966","Assassin's creed rogue","game","completed",7.6,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1xir.webp","2025-12-25T05:36:18.966Z"
"1766641012655","Assassin's Creed syndicate","game","completed",7.4,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1xis.webp","2025-12-25T05:36:52.655Z"
"1766641045346","Assassin's Creed origins","game","completed",7.2,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1rbe.webp","2025-12-25T05:37:25.346Z"
"1766641076640","Assassin's creed odyssey","game","completed",8.1,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co2nul.webp","2025-12-25T05:37:56.640Z"
"1766641105491","Assassin's creed valhalla","game","completed",6.9,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co2ed3.webp","2025-12-25T05:38:25.491Z"
"1766641129159","Assassin's creed shadows","game","completed",7.4,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co87cu.webp","2025-12-25T05:38:49.159Z"
"1766641164293","Assassin's creed mirage","game","completed",7.3,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co57sj.webp","2025-12-25T05:39:24.293Z"
"1766641223649","Detroit become human","game","replay",9,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.webp","2025-12-25T05:40:23.649Z"
"1766641246541","Elden ring","game","completed",8.6,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co4jni.webp","2025-12-25T05:40:46.541Z"
"1766641277806","Resident evil 2 remake","game","watching",8.4,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1ir3.webp","2025-12-25T05:41:17.806Z"
"1766641432909","South park the stick of truth","game","completed",8.5,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1v8x.webp","2025-12-25T05:43:52.909Z"
"1766641545106","South Park: The Fractured But Whole","game","on-hold",5,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co1v8w.webp","2025-12-25T05:45:45.106Z"
"1766641933534","Breaking bad","series","completed",10,"","https://image.tmdb.org/t/p/w500/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg","2025-12-25T05:52:13.534Z"
"1766641969945","The walking dead","series","completed",9,"","https://imgs.search.brave.com/wdipKrmJFdDCZfdLQYlRup-0EAGcrl_kUvt2miQYCzM/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NzFMd2xUbVp6SUwu/anBn","2025-12-25T05:52:49.945Z"
"1766641992016","The good doctor","series","completed",9,"","https://image.tmdb.org/t/p/w500/luhKkdD80qe62fwop6sdrXK9jUT.jpg","2025-12-25T05:53:12.016Z"
"1766642032046","Tredici","series","completed",9,"","https://image.tmdb.org/t/p/w500/r6vlLLCl8SYka5hObkP5Jn5H5uR.jpg","2025-12-25T05:53:52.046Z"
"1766642104815","La casa di carta","series","completed",8.8,"","https://image.tmdb.org/t/p/w500/u1RSyTfhoKBMlVqXfoEzGldlDtL.jpg","2025-12-25T05:55:04.815Z"
"1766642140377","Squid game","series","completed",8.5,"","https://image.tmdb.org/t/p/w500/nW5rupC5zMeAGgGBYXkr8JL8Xq7.jpg","2025-12-25T05:55:40.377Z"
"1766642237729","Wednesday","series","on-hold",8,"Iniziare episodio 5","https://imgs.search.brave.com/SSeNABMtyf7_CYOj3qZ8tiChQUVXjOg9OU5ALLh8QwE/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZS50bWRiLm9yZy90/L3AvdzUwMC85UEZv/bkJoeTRjUXk3Snoy/ME5wTXlnY3pPa3Yu/anBn","2025-12-25T05:57:17.729Z"
"1766642277084","Better Call Saul","series","on-hold",5,"Finita stagione 1","https://imgs.search.brave.com/7LyxRl3eVJ868xmluCjNbHUo4RTlNvD9JtjjVYS7JRQ/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tci5j/b21pbmdzb29uLml0/L3Jzei9zZXJpZXR2/L3NlcmllLzQ1NC80/NTRfNC5qcGc_cHJl/c2V0PXBzdHIyMzU","2025-12-25T05:57:57.084Z"
"1766642374778","Attack on titan","anime","replay",10,"","https://imgs.search.brave.com/y-L7too9vukfuzfnZGrKOeCD-1UnVUvqpf6ze-JqJPA/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93YWxs/cGFwZXJhY2Nlc3Mu/Y29tL2Z1bGwvMzY2/NjguanBn","2025-12-25T05:59:34.778Z"
"1766642415346","Detective Conan","anime","completed",9.7,"","https://image.tmdb.org/t/p/w500/gW14n6xxONXrya8CIDhRe5Ada7U.jpg","2025-12-25T06:00:15.346Z"
"1766642445921","Death note","anime","completed",9.8,"","https://image.tmdb.org/t/p/w500/chnG4pYo89weaBjXHJWvW68E35B.jpg","2025-12-25T06:00:45.921Z"
"1766642477869","Dragon Ball Z","anime","completed",9,"","https://image.tmdb.org/t/p/w500/f2zhRLqwRLrKhEMeIM7Z5buJFo3.jpg","2025-12-25T06:01:17.869Z"
"1766642500157","Dragon ball gt","anime","completed",8.5,"","https://image.tmdb.org/t/p/w500/whMOujSNYXRQeeCWf39CfkqguFy.jpg","2025-12-25T06:01:40.157Z"
"1766643112766","Life is strange true colors","game","completed",7,"","https://images.igdb.com/igdb/image/upload/t_cover_big/co2vpp.webp","2025-12-25T06:11:52.766Z"
